feature,mean_abs_shap,domain
feature_209,0.05310750459309955,Die / Parametric
feature_254,0.05281790523223435,Die / Parametric
feature_277,0.052750888957633496,Die / Parametric
feature_60,0.0525774237297362,Die / Parametric
feature_235,0.05251893338117238,Die / Parametric
feature_236,0.05241106522652956,Die / Parametric
feature_115,0.05205728822584578,Die / Parametric
feature_365,0.051937439260176126,Die / Parametric
feature_472,0.05184540240248056,Die / Parametric
feature_320,0.05138769187554362,Die / Parametric
feature_497,0.05036702275059431,Die / Parametric
feature_97,0.050287593092826356,Die / Parametric
sp_zone_yield,0.0497706341261468,Spatial
feature_399,0.04963040529342902,Die / Parametric
feature_263,0.049512347358726685,Die / Parametric
feature_3,0.049486369346860244,Die / Parametric
feature_280,0.04934888394350198,Die / Parametric
feature_362,0.048812834690616494,Die / Parametric
feature_349,0.04816968958545288,Die / Parametric
feature_446,0.04808033903799851,Die / Parametric
sp_old_fail_density_7,0.0478995196828075,Spatial
feature_238,0.04777875935340234,Die / Parametric
feature_271,0.04776692366996575,Die / Parametric
feature_223,0.04742609972629262,Die / Parametric
feature_286,0.04736257714931018,Die / Parametric
feature_211,0.04725745511391073,Die / Parametric
feature_396,0.04721187841278809,Die / Parametric
feature_9,0.047009752993676684,Die / Parametric
feature_46,0.04664861361470746,Die / Parametric
feature_130,0.04630608533502985,Die / Parametric
feature_227,0.04623536974225673,Die / Parametric
feature_169,0.04622353742227168,Die / Parametric
feature_474,0.04617549885299057,Die / Parametric
feature_156,0.046159449634894226,Die / Parametric
feature_163,0.04610417531985779,Die / Parametric
feature_233,0.0457005890500622,Die / Parametric
feature_293,0.045626055755099704,Die / Parametric
feature_325,0.04560454756602347,Die / Parametric
feature_207,0.04511784675306112,Die / Parametric
feature_48,0.04507885574790677,Die / Parametric
feature_294,0.044896713462495734,Die / Parametric
feature_436,0.044750512290894585,Die / Parametric
feature_99,0.04437300047206896,Die / Parametric
feature_43,0.04417303150221912,Die / Parametric
feature_221,0.04401701939432481,Die / Parametric
feature_28,0.04395680067702994,Die / Parametric
feature_229,0.04393487744962909,Die / Parametric
feature_88,0.04390696162968861,Die / Parametric
feature_250,0.04331664204107544,Die / Parametric
feature_29,0.042851784452893005,Die / Parametric
feature_231,0.04280012927733345,Die / Parametric
feature_123,0.042696246179423115,Die / Parametric
feature_126,0.04254506323830333,Die / Parametric
feature_244,0.04242720799142485,Die / Parametric
feature_216,0.04218237953876869,Die / Parametric
feature_193,0.0421678827212958,Die / Parametric
feature_433,0.04210066133095183,Die / Parametric
feature_255,0.04205393736024279,Die / Parametric
feature_332,0.04203937501662615,Die / Parametric
feature_189,0.041765817701217504,Die / Parametric
feature_160,0.04170296230754959,Die / Parametric
feature_350,0.04151731724374708,Die / Parametric
feature_443,0.041489245487829604,Die / Parametric
feature_174,0.04143869833602741,Die / Parametric
feature_342,0.04125423809364656,Die / Parametric
feature_146,0.04125211253483019,Die / Parametric
feature_13,0.041038790079711646,Die / Parametric
feature_37,0.04096147088429031,Die / Parametric
feature_447,0.04072796620050647,Die / Parametric
feature_240,0.04060493941375446,Die / Parametric
feature_340,0.040577624995550045,Die / Parametric
feature_205,0.04027231608746671,Die / Parametric
feature_440,0.040094370781185704,Die / Parametric
feature_337,0.04008991324170667,Die / Parametric
feature_341,0.04005332004619025,Die / Parametric
feature_296,0.039985956772819645,Die / Parametric
feature_475,0.039600341080595396,Die / Parametric
feature_500,0.03933397678854428,Die / Parametric
feature_426,0.03931661568130285,Die / Parametric
feature_188,0.038804740505854106,Die / Parametric
feature_222,0.038783274517300834,Die / Parametric
feature_430,0.03878101899190883,Die / Parametric
feature_404,0.03874067099756941,Die / Parametric
feature_224,0.03872670839627943,Die / Parametric
feature_81,0.03868174731893647,Die / Parametric
feature_195,0.03865671084906057,Die / Parametric
sp_radial,0.03863552959112287,Spatial
feature_418,0.038480547304617675,Die / Parametric
feature_220,0.03822634969595183,Die / Parametric
feature_214,0.03809803907885759,Die / Parametric
feature_283,0.03795397902201504,Die / Parametric
feature_367,0.03786703910459004,Die / Parametric
feature_190,0.03777409668438463,Die / Parametric
feature_444,0.0374493852748297,Die / Parametric
feature_299,0.037408121931810936,Die / Parametric
feature_329,0.036966220974613904,Die / Parametric
feature_17,0.036646792676423165,Die / Parametric
feature_275,0.03656051970657652,Die / Parametric
feature_83,0.03632335471137689,Die / Parametric
feature_80,0.03621185193613805,Die / Parametric
feature_105,0.03615197533969651,Die / Parametric
feature_24,0.03606384480072634,Die / Parametric
feature_260,0.0359467435739328,Die / Parametric
feature_456,0.035649418141954915,Die / Parametric
feature_476,0.035383115708650194,Die / Parametric
feature_486,0.03537243309753022,Die / Parametric
feature_364,0.03531844076509985,Die / Parametric
blk_median,0.035286687693930896,Block
feature_89,0.03525448088640488,Die / Parametric
feature_343,0.03525357545379175,Die / Parametric
feature_69,0.035211028220680354,Die / Parametric
feature_370,0.03508036363926062,Die / Parametric
feature_411,0.035077985285102614,Die / Parametric
feature_65,0.03490701961414989,Die / Parametric
feature_39,0.03490614631716495,Die / Parametric
blk_skew,0.034886925040186756,Block
feature_140,0.0347597566862733,Die / Parametric
feature_197,0.034686910082139324,Die / Parametric
feature_269,0.03428693034345804,Die / Parametric
feature_368,0.03398098022313082,Die / Parametric
feature_441,0.03397301529402939,Die / Parametric
feature_270,0.033888049880219685,Die / Parametric
feature_40,0.033408416973812624,Die / Parametric
feature_380,0.03340616121698854,Die / Parametric
feature_467,0.03339644871850178,Die / Parametric
feature_164,0.03329023026154474,Die / Parametric
feature_487,0.03306748657826525,Die / Parametric
feature_461,0.03305928443639364,Die / Parametric
feature_153,0.03302491892186847,Die / Parametric
feature_176,0.032977264420454414,Die / Parametric
feature_100,0.03289046282509523,Die / Parametric
feature_26,0.032689980625167335,Die / Parametric
feature_330,0.03262871695066758,Die / Parametric
feature_154,0.032589800268035596,Die / Parametric
feature_261,0.03235165761416491,Die / Parametric
feature_335,0.032319469856776334,Die / Parametric
feature_141,0.0320630420612883,Die / Parametric
feature_241,0.03197715592495802,Die / Parametric
feature_75,0.03197057470195334,Die / Parametric
feature_466,0.03195925267825404,Die / Parametric
feature_21,0.03176841074137507,Die / Parametric
feature_345,0.03159750913847692,Die / Parametric
feature_114,0.0312523491636876,Die / Parametric
feature_358,0.03121839088724387,Die / Parametric
feature_266,0.031110189269472434,Die / Parametric
feature_359,0.030977505555437178,Die / Parametric
feature_57,0.030973742203871127,Die / Parametric
feature_159,0.030957775091461245,Die / Parametric
feature_166,0.03045000985934219,Die / Parametric
feature_306,0.030422473866616326,Die / Parametric
feature_291,0.030313648133022366,Die / Parametric
feature_137,0.029907713828970714,Die / Parametric
feature_403,0.029856409194792235,Die / Parametric
feature_315,0.029838942486116463,Die / Parametric
feature_34,0.029763408879629114,Die / Parametric
feature_318,0.0296879780476099,Die / Parametric
feature_136,0.029641884534941224,Die / Parametric
feature_20,0.0296123371777305,Die / Parametric
feature_435,0.029350659630946692,Die / Parametric
feature_251,0.029255548232718087,Die / Parametric
feature_248,0.029100868191356575,Die / Parametric
feature_1,0.02904931048453336,Die / Parametric
die_anomaly_score,0.02888484524906033,Die / Parametric
feature_425,0.02885845422998336,Die / Parametric
feature_321,0.028804859217845563,Die / Parametric
feature_308,0.028733471532886766,Die / Parametric
feature_482,0.028683982785602687,Die / Parametric
feature_391,0.028467107321956082,Die / Parametric
feature_389,0.028170210726143195,Die / Parametric
feature_237,0.02790958086429324,Die / Parametric
feature_198,0.027822495737824898,Die / Parametric
feature_67,0.027547271668302318,Die / Parametric
feature_257,0.02735799176252174,Die / Parametric
feature_256,0.02732865011375574,Die / Parametric
feature_62,0.027253730692216125,Die / Parametric
feature_125,0.026870072715310434,Die / Parametric
feature_473,0.02679121516834841,Die / Parametric
feature_91,0.02663515827336202,Die / Parametric
feature_288,0.026577635791710984,Die / Parametric
feature_448,0.02652162175324207,Die / Parametric
feature_22,0.0263542146347726,Die / Parametric
feature_303,0.026240639532841697,Die / Parametric
feature_381,0.025964572593027452,Die / Parametric
feature_372,0.025788466997732556,Die / Parametric
feature_338,0.025653061105050865,Die / Parametric
feature_230,0.025631821235699855,Die / Parametric
feature_385,0.025453983939950953,Die / Parametric
feature_31,0.025308573566214746,Die / Parametric
feature_264,0.02529193417511578,Die / Parametric
feature_170,0.02514317743831468,Die / Parametric
feature_78,0.025120950396745684,Die / Parametric
feature_317,0.024937554392800907,Die / Parametric
feature_298,0.024875356040637866,Die / Parametric
feature_434,0.024813084673841728,Die / Parametric
feature_495,0.02477012775184604,Die / Parametric
feature_127,0.024726399241454197,Die / Parametric
feature_212,0.02468674588845371,Die / Parametric
feature_496,0.024682543662594012,Die / Parametric
feature_161,0.02451066892801682,Die / Parametric
feature_82,0.024342725566068913,Die / Parametric
feature_414,0.02428122196102345,Die / Parametric
feature_133,0.024256342730738553,Die / Parametric
feature_382,0.024230608520356196,Die / Parametric
feature_347,0.024042607364271468,Die / Parametric
feature_249,0.023883850916766817,Die / Parametric
feature_259,0.023829451234366143,Die / Parametric
feature_409,0.023751126363155656,Die / Parametric
feature_152,0.023587013044361855,Die / Parametric
feature_373,0.023512183145204448,Die / Parametric
feature_186,0.023093210377697758,Die / Parametric
feature_454,0.023026175215322135,Die / Parametric
feature_360,0.02298336870384934,Die / Parametric
feature_442,0.02288330550957115,Die / Parametric
feature_258,0.022855503732728395,Die / Parametric
feature_16,0.02253081265818783,Die / Parametric
feature_265,0.022491097624058164,Die / Parametric
feature_356,0.02241640959794685,Die / Parametric
feature_390,0.02234914958627456,Die / Parametric
feature_483,0.0223246185256813,Die / Parametric
feature_185,0.022320132952068913,Die / Parametric
feature_491,0.022305966998762382,Die / Parametric
feature_210,0.022298076435472255,Die / Parametric
feature_455,0.022225879425035924,Die / Parametric
feature_56,0.022115347087328284,Die / Parametric
feature_110,0.021880505572120852,Die / Parametric
feature_252,0.021633233964202966,Die / Parametric
feature_351,0.02149530542916922,Die / Parametric
feature_459,0.021160680486582435,Die / Parametric
feature_331,0.021159889440355004,Die / Parametric
feature_431,0.02070994676478538,Die / Parametric
feature_449,0.02061046594194746,Die / Parametric
feature_488,0.02060989983439238,Die / Parametric
feature_427,0.02051470775585433,Die / Parametric
feature_239,0.02050827620763004,Die / Parametric
feature_32,0.020499318892552923,Die / Parametric
feature_498,0.020363057331580937,Die / Parametric
feature_300,0.020357392069702173,Die / Parametric
feature_149,0.020207286760338478,Die / Parametric
feature_27,0.020173870287364996,Die / Parametric
feature_203,0.020105243599630614,Die / Parametric
feature_4,0.020022637276069122,Die / Parametric
feature_395,0.01985360358107617,Die / Parametric
feature_71,0.01974079167218577,Die / Parametric
blk_q25,0.01943957894876051,Block
feature_18,0.019387829604576173,Die / Parametric
feature_208,0.019385420267298992,Die / Parametric
feature_405,0.01938222341388603,Die / Parametric
feature_30,0.019365510233649706,Die / Parametric
feature_322,0.01935544025614216,Die / Parametric
feature_334,0.01902299634837866,Die / Parametric
feature_206,0.018978590168278953,Die / Parametric
feature_324,0.018945335350296615,Die / Parametric
feature_412,0.018852580483020607,Die / Parametric
feature_375,0.01855595092250064,Die / Parametric
feature_378,0.018531205639357146,Die / Parametric
feature_429,0.01836585956382384,Die / Parametric
feature_366,0.018344494051920054,Die / Parametric
feature_44,0.017909445285727472,Die / Parametric
feature_253,0.01785286243292787,Die / Parametric
feature_311,0.01750954946929222,Die / Parametric
feature_118,0.01746757945345282,Die / Parametric
feature_386,0.01740384767578855,Die / Parametric
feature_129,0.017372555658409512,Die / Parametric
feature_51,0.017328972273753632,Die / Parametric
feature_392,0.01731426392265485,Die / Parametric
feature_202,0.017306390045620828,Die / Parametric
feature_417,0.016945203626147768,Die / Parametric
feature_421,0.016628134301521557,Die / Parametric
feature_464,0.016612967778393883,Die / Parametric
feature_6,0.016270645009650295,Die / Parametric
feature_104,0.016156562354521495,Die / Parametric
sp_old_fail_density_3,0.016143183508351665,Spatial
feature_54,0.016094555632351806,Die / Parametric
feature_383,0.01601498066368545,Die / Parametric
feature_445,0.015981730866394355,Die / Parametric
feature_494,0.0158919580197354,Die / Parametric
feature_182,0.015692521507882036,Die / Parametric
feature_355,0.015496709609105831,Die / Parametric
feature_471,0.015471750489382277,Die / Parametric
feature_5,0.015453744102050016,Die / Parametric
feature_402,0.015345766671339854,Die / Parametric
feature_401,0.01523570761286971,Die / Parametric
feature_36,0.015158489813034536,Die / Parametric
feature_11,0.015051134906702053,Die / Parametric
feature_316,0.01498663519464829,Die / Parametric
feature_116,0.014793354324724875,Die / Parametric
feature_465,0.014662355897529322,Die / Parametric
feature_468,0.014629698402162175,Die / Parametric
feature_326,0.01460810408043306,Die / Parametric
feature_310,0.014500162547612244,Die / Parametric
feature_68,0.01433206778509735,Die / Parametric
feature_103,0.01416404323467316,Die / Parametric
feature_184,0.013953349678018234,Die / Parametric
feature_428,0.01378252917863583,Die / Parametric
feature_410,0.01364315713262237,Die / Parametric
feature_489,0.013624707607633709,Die / Parametric
feature_400,0.013622218852991926,Die / Parametric
feature_7,0.01357793724229747,Die / Parametric
feature_481,0.013362614274939752,Die / Parametric
feature_344,0.013330461729866972,Die / Parametric
feature_102,0.013258109467404274,Die / Parametric
feature_158,0.0131313772961866,Die / Parametric
feature_50,0.012886146176022769,Die / Parametric
blk_max,0.012746172609194655,Block
feature_346,0.012686999909741136,Die / Parametric
feature_111,0.012643462892974135,Die / Parametric
feature_393,0.012615286335806188,Die / Parametric
feature_479,0.012570416234770105,Die / Parametric
feature_119,0.012447206845202246,Die / Parametric
feature_328,0.012409972085954873,Die / Parametric
feature_361,0.012393563592540738,Die / Parametric
feature_121,0.012112823271390797,Die / Parametric
feature_199,0.011924857720590805,Die / Parametric
feature_86,0.011464938294987901,Die / Parametric
blk_n_anom_mad,0.01139463136794855,Block
feature_416,0.011364238364291296,Die / Parametric
feature_84,0.01123552750604644,Die / Parametric
feature_35,0.01113482983214969,Die / Parametric
feature_194,0.01108514143299847,Die / Parametric
feature_79,0.011034659466612595,Die / Parametric
feature_462,0.01102252356809152,Die / Parametric
feature_47,0.010983508992565328,Die / Parametric
feature_327,0.010915461054237647,Die / Parametric
feature_415,0.010861906432754488,Die / Parametric
feature_98,0.01068498202638888,Die / Parametric
feature_41,0.01056942870413143,Die / Parametric
feature_64,0.010568028207928922,Die / Parametric
feature_313,0.010329238188779715,Die / Parametric
feature_181,0.010304502441670672,Die / Parametric
feature_14,0.010238619059095812,Die / Parametric
feature_394,0.010211915828270374,Die / Parametric
feature_499,0.01003331981649826,Die / Parametric
feature_196,0.009923873473200522,Die / Parametric
feature_61,0.009853143110897458,Die / Parametric
feature_424,0.009848516875300101,Die / Parametric
feature_10,0.00968798135258798,Die / Parametric
feature_124,0.009668551286758248,Die / Parametric
feature_139,0.009637949634698797,Die / Parametric
feature_279,0.009624409709943858,Die / Parametric
feature_357,0.009592479087611752,Die / Parametric
feature_485,0.009590426816840624,Die / Parametric
feature_138,0.009548958330376335,Die / Parametric
feature_228,0.009546986393935728,Die / Parametric
feature_131,0.009530918563299583,Die / Parametric
feature_297,0.00947662739819442,Die / Parametric
feature_323,0.009466372026380968,Die / Parametric
feature_147,0.009168020945720128,Die / Parametric
feature_179,0.009079729897820254,Die / Parametric
feature_247,0.008971232023807755,Die / Parametric
feature_90,0.008900360059439847,Die / Parametric
feature_70,0.008754379921511263,Die / Parametric
feature_374,0.008672426709481068,Die / Parametric
feature_106,0.008650805881124993,Die / Parametric
feature_122,0.008484758469851977,Die / Parametric
feature_120,0.00839939722949644,Die / Parametric
feature_307,0.008393716923321368,Die / Parametric
feature_143,0.008357885760366085,Die / Parametric
feature_94,0.008349955661285753,Die / Parametric
feature_301,0.008330735431340016,Die / Parametric
feature_215,0.008287132610155368,Die / Parametric
feature_422,0.008127373176459163,Die / Parametric
feature_438,0.007907846165026875,Die / Parametric
feature_278,0.007830458643444867,Die / Parametric
feature_469,0.007727400906187571,Die / Parametric
feature_148,0.007671262287286801,Die / Parametric
feature_453,0.007619253645335682,Die / Parametric
feature_432,0.007535907074273815,Die / Parametric
blk_anomaly_score,0.007375967573219346,Block
feature_406,0.007333878736725036,Die / Parametric
feature_339,0.007326667243269122,Die / Parametric
feature_439,0.007293656502272529,Die / Parametric
feature_187,0.0071878774080613005,Die / Parametric
feature_458,0.007182150127012598,Die / Parametric
feature_234,0.007181002215782804,Die / Parametric
feature_302,0.007091253515510418,Die / Parametric
feature_492,0.006946179639609329,Die / Parametric
feature_76,0.006894221695085493,Die / Parametric
feature_101,0.006868387389737001,Die / Parametric
feature_398,0.006670803223920438,Die / Parametric
feature_135,0.006668363654874901,Die / Parametric
feature_423,0.006607065468295603,Die / Parametric
feature_281,0.006558759986183227,Die / Parametric
feature_23,0.0064773091412614284,Die / Parametric
feature_470,0.006393253175302233,Die / Parametric
feature_352,0.006376177378066901,Die / Parametric
feature_363,0.006214654129585067,Die / Parametric
feature_52,0.00612159146817851,Die / Parametric
feature_66,0.006074563722386471,Die / Parametric
feature_165,0.006050655927562166,Die / Parametric
feature_371,0.005911394705819782,Die / Parametric
feature_38,0.00590199586888861,Die / Parametric
feature_73,0.005830329313721733,Die / Parametric
feature_354,0.005787267727030511,Die / Parametric
feature_305,0.0057764837976233005,Die / Parametric
feature_413,0.005760292902051959,Die / Parametric
feature_107,0.005741697787975042,Die / Parametric
feature_175,0.005649928385419496,Die / Parametric
feature_145,0.005595386864249551,Die / Parametric
feature_437,0.00549141595108328,Die / Parametric
feature_226,0.005472742116266766,Die / Parametric
feature_96,0.005468324706634216,Die / Parametric
feature_63,0.005410589859303161,Die / Parametric
feature_273,0.005321150832108802,Die / Parametric
feature_87,0.005205505963795225,Die / Parametric
feature_408,0.005178764803898737,Die / Parametric
feature_142,0.005084083088376321,Die / Parametric
feature_232,0.0048400446548398516,Die / Parametric
feature_407,0.0048285724361795904,Die / Parametric
feature_287,0.004763931663760476,Die / Parametric
feature_157,0.004702236941455067,Die / Parametric
feature_112,0.004661908292681147,Die / Parametric
feature_53,0.004617133398531876,Die / Parametric
feature_201,0.004577302936693804,Die / Parametric
feature_12,0.0045108057475048684,Die / Parametric
feature_144,0.00448925178396311,Die / Parametric
feature_74,0.004454923705381127,Die / Parametric
feature_2,0.004409622027485554,Die / Parametric
blk_kurt,0.004405152081397681,Block
feature_128,0.0043969566382009535,Die / Parametric
feature_484,0.004391057844756543,Die / Parametric
feature_95,0.004390790387186476,Die / Parametric
feature_25,0.0043304498489129435,Die / Parametric
feature_314,0.0043075262083150136,Die / Parametric
feature_477,0.004296740428398009,Die / Parametric
feature_219,0.004296065899615581,Die / Parametric
feature_268,0.004278555334399781,Die / Parametric
feature_376,0.004255811577696702,Die / Parametric
feature_369,0.0042215582173180605,Die / Parametric
feature_493,0.004193212802557623,Die / Parametric
feature_292,0.004180424036388621,Die / Parametric
blk_max_deviation,0.004140299016537413,Block
feature_192,0.004090051045408896,Die / Parametric
feature_274,0.003965930651932554,Die / Parametric
feature_108,0.003930595904787981,Die / Parametric
feature_451,0.003886905803494621,Die / Parametric
feature_450,0.003815881271811609,Die / Parametric
blk_mad,0.003725098995378975,Block
feature_377,0.0035685478767605934,Die / Parametric
feature_267,0.0035560211567333944,Die / Parametric
feature_353,0.0035416312600422342,Die / Parametric
feature_155,0.0035148330528664714,Die / Parametric
feature_15,0.0035133597261958983,Die / Parametric
feature_55,0.0034377575041185117,Die / Parametric
feature_45,0.0034276396555042105,Die / Parametric
feature_490,0.0034240103827360884,Die / Parametric
blk_min,0.003419797752258439,Block
feature_92,0.003371740074154413,Die / Parametric
sp_col_norm,0.003359631091860144,Spatial
feature_93,0.003343493000750299,Die / Parametric
feature_177,0.0032499184814452774,Die / Parametric
feature_388,0.003181523178852764,Die / Parametric
blk_range,0.0031702581149951592,Block
feature_151,0.0031026467620723142,Die / Parametric
feature_420,0.0030072550840781653,Die / Parametric
feature_304,0.002970999223293421,Die / Parametric
feature_384,0.002821460875060498,Die / Parametric
feature_452,0.002728384277574796,Die / Parametric
feature_217,0.002709580635142773,Die / Parametric
blk_iqr,0.0027020123522651244,Block
feature_289,0.002637931254353816,Die / Parametric
feature_162,0.0025923463067138715,Die / Parametric
blk_frac_anom_mad,0.0025492432613782763,Block
feature_172,0.0025391269352174365,Die / Parametric
feature_319,0.0025253257307130427,Die / Parametric
feature_49,0.0024915471812483724,Die / Parametric
feature_463,0.002479798085916553,Die / Parametric
sp_row_norm,0.0024713717664360973,Spatial
feature_19,0.0024700833115644683,Die / Parametric
feature_213,0.0024443696455927547,Die / Parametric
feature_42,0.0024370818276957017,Die / Parametric
feature_117,0.002421735664574965,Die / Parametric
feature_59,0.002414564623868843,Die / Parametric
sp_old_fail_density_5,0.0023470891230302575,Spatial
feature_150,0.00208642343074228,Die / Parametric
feature_180,0.002081445119704071,Die / Parametric
feature_134,0.0019340682633678396,Die / Parametric
feature_167,0.0016320780476444688,Die / Parametric
feature_72,0.001514621339402743,Die / Parametric
blk_frac_anom_fixed,0.0,Block
blk_n_anom_fixed,0.0,Block
blk_longest_run,0.0,Block
blk_n_clusters,0.0,Block
